web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1669206689-60","https://shopee.co.id/mall/brands/11042849","VNI.ID","https://shopee.co.id/vni.id","","64","100% (hitungan jam)","63RB","4.7 (48,7RB penilaian)","20 bulan lalu","null","KOTA JAKARTA BARAT","77%offVNI.ID Basic Sweater Polos New York 199X Pria & Wanita SIZE M-XXLDiskon Rp500Rp39.800 - Rp56.6949,5RB TerjualKOTA JAKARTA BARAT","https://shopee.co.id/VNI.ID-Basic-Sweater-Polos-New-York-199X-Pria-Wanita-SIZE-M-XXL-i.404771892.6182446887?sp_atk=42312269-50cc-4f96-b746-a8afe22d1d59&xptdk=42312269-50cc-4f96-b746-a8afe22d1d59","null","null","null","null","null"
"1669206717-61","https://shopee.co.id/mall/brands/11042849","Vitlexs","https://shopee.co.id/vitlexsofficial","","61","44% (hitungan jam)","9,4RB","4.7 (1,8RB penilaian)","26 bulan lalu","null","KAB. BANDUNG","40%offVitlexs Sandal Pria Slip On Art Font VitlexsDiskon Rp20RBPilih 2, diskon 5%Rp200.000Rp120.00023 TerjualKAB. BANDUNG","https://shopee.co.id/Vitlexs-Sandal-Pria-Slip-On-Art-Font-Vitlexs-i.312777406.11623187022?sp_atk=332e8cdc-0d45-4c86-a0b9-107e456b6ab5&xptdk=332e8cdc-0d45-4c86-a0b9-107e456b6ab5","null","null","null","null","null"
"1669206745-62","https://shopee.co.id/mall/brands/11042849","Vish","https://shopee.co.id/vishbyntl","","101","52% (hitungan jam)","17%","8RB","4.9 (1,2RB penilaian)","null","KOTA JAKARTA BARAT","Vish - (Ready Stock) Ventela x Nevertoolavish: H13 Noir HighRp469.800111 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Vish-(Ready-Stock)-Ventela-x-Nevertoolavish-H13-Noir-High-i.218254552.7149898391?sp_atk=865b85e9-ba08-4b81-be40-25f5ae0096a4&xptdk=865b85e9-ba08-4b81-be40-25f5ae0096a4","null","null","null","null","null"
"1669206771-63","https://shopee.co.id/mall/brands/11042849","Visbar","https://shopee.co.id/visbar.id","","171","91% (hitungan jam)","72,3RB","4.9 (17,9RB penilaian)","3 tahun lalu","null","KOTA DEPOK","25%offVisbar TShirt T13 - MermaidDiskon Rp1RBPilih 3, bayar Rp250.000Rp169.000Rp126.7501,6RB TerjualKOTA DEPOK","https://shopee.co.id/Visbar-TShirt-T13-Mermaid-i.166044163.5616761704?sp_atk=31d46a99-2e60-4642-9345-56498f502769&xptdk=31d46a99-2e60-4642-9345-56498f502769","null","null","null","null","null"
"1669206796-64","https://shopee.co.id/mall/brands/11042849","VIBESAPPAREL","https://shopee.co.id/vibesapparel_","","219","95% (hitungan jam)","31RB","4.8 (8,9RB penilaian)","4 tahun lalu","null","KOTA TANGERANG","55%offVIBES APPAREL | Wirepeace | Coach JacketDiskon 20%Murah LebayRp350.000Rp159.0001,2RB TerjualKOTA TANGERANG","https://shopee.co.id/VIBES-APPAREL-Wirepeace-Coach-Jacket-i.106062905.6765038927?sp_atk=8b4b04b2-436e-4613-9948-58738fb97c35&xptdk=8b4b04b2-436e-4613-9948-58738fb97c35","null","null","null","null","null"
"1669206823-65","https://shopee.co.id/mall/brands/11042849","Vialli Milano","https://shopee.co.id/viallimilano","","259","58% (hitungan jam)","1,8RB","4.9 (1,5RB penilaian)","27 bulan lalu","null","KOTA JAKARTA BARAT","Danatella Polo Stripe Shirt Wanita lengan pendekRp229.000156 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Danatella-Polo-Stripe-Shirt-Wanita-lengan-pendek-i.298649135.8811076206?sp_atk=70b62e59-0b35-442f-afef-b155b67543b8&xptdk=70b62e59-0b35-442f-afef-b155b67543b8","null","null","null","null","null"
"1669206856-66","https://shopee.co.id/mall/brands/11042849","Verticalgoods","https://shopee.co.id/verticalgoods","","172","96% (hitungan jam)","41,2RB","4.8 (15,4RB penilaian)","5 tahun lalu","null","KOTA TANGERANG","59%offVerticalgoods | T-shirt Oversize | Kaos CURE BeigeKombo HematRp200.000Rp82.000812 TerjualKOTA TANGERANG","https://shopee.co.id/Verticalgoods-T-shirt-Oversize-Kaos-CURE-Beige-i.42407758.13435141260?sp_atk=3619f1e8-0fd0-4133-bfd4-7e011e5656a2&xptdk=3619f1e8-0fd0-4133-bfd4-7e011e5656a2","null","null","null","null","null"
"1669206888-67","https://shopee.co.id/mall/brands/11042849","Verkoop","https://shopee.co.id/verkoop.store","","54","56% (hitungan jam)","2RB","4.9 (1,9RB penilaian)","9 bulan lalu","null","KOTA JAKARTA SELATAN","60%offVerkoop Long Sleeve Tshirt ArmyRp299.000Rp119.00035 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Verkoop-Long-Sleeve-Tshirt-Army-i.698748973.20458886939?sp_atk=18670d74-6ae1-496a-ae04-67d46ba97ac0&xptdk=18670d74-6ae1-496a-ae04-67d46ba97ac0","null","null","null","null","null"
"1669206914-68","https://shopee.co.id/mall/brands/11042849","Vercline","https://shopee.co.id/vercline","","34","29% (hitungan jam)","1,9RB","4.8 (239 penilaian)","4 tahun lalu","null","KOTA JAKARTA BARAT","30%offVercline Oversized T-Shirt DOBIERp425.000Rp297.5004 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Vercline-Oversized-T-Shirt-DOBIE-i.92018159.19057695179?sp_atk=de95ebad-aba6-4b82-a2a1-1ae7842cfc15&xptdk=de95ebad-aba6-4b82-a2a1-1ae7842cfc15","null","null","null","null","null"
"1669206943-69","https://shopee.co.id/mall/brands/11042849","Vengoz","https://shopee.co.id/vengoz","","251","74% (hitungan jam)","126,5RB","4.8 (57,7RB penilaian)","5 tahun lalu","null","KOTA JAKARTA UTARA","64%offVENGOZ Kemeja Pria - Adya Casual ShirtDiskon 50%Pilih 2, diskon 3%Rp359.000Rp129.0002,7RB TerjualKOTA JAKARTA UTARA","https://shopee.co.id/VENGOZ-Kemeja-Pria-Adya-Casual-Shirt-i.58259176.9618220973?sp_atk=58fc8d09-0d98-4684-bdd2-07aaefaed353&xptdk=58fc8d09-0d98-4684-bdd2-07aaefaed353","null","null","null","null","null"
"1669206970-70","https://shopee.co.id/mall/brands/11042849","Veljko","https://shopee.co.id/veljko.official","","283","97% (hitungan jam)","57,5RB","4.8 (26,5RB penilaian)","34 bulan lalu","null","KOTA BANDUNG","45%offVeljko T-shirt Larva BlackDiskon Rp2,5RBRp135.000Rp74.5001,9RB TerjualKOTA BANDUNG","https://shopee.co.id/Veljko-T-shirt-Larva-Black-i.219487388.3929010782?sp_atk=21925025-674e-48e5-8bb1-b20cce069884&xptdk=21925025-674e-48e5-8bb1-b20cce069884","null","null","null","null","null"
"1669206995-71","https://shopee.co.id/mall/brands/11042849","Vearst","https://shopee.co.id/vearst","","399","89% (hitungan jam)","48RB","4.8 (15,6RB penilaian)","34 bulan lalu","null","KOTA BANDUNG","41%offVearst Work Pants Sable 540 Cut BlackDiskon Rp5RBRp439.000Rp260.000709 TerjualKOTA BANDUNG","https://shopee.co.id/Vearst-Work-Pants-Sable-540-Cut-Black-i.224781834.6278574673?sp_atk=04fcb313-80d3-401f-9df1-1fff72dbe292&xptdk=04fcb313-80d3-401f-9df1-1fff72dbe292","null","null","null","null","null"
"1669207021-72","https://shopee.co.id/mall/brands/11042849","VCRL","https://shopee.co.id/vcrl.id","","53","91% (hitungan jam)","2,6RB","4.6 (5,1RB penilaian)","29 bulan lalu","null","KAB. BANDUNG","50%offVCRL Sweater Pria Sablon Polos Basic Bahan Cotton Flece OriginalDiskon 50%Rp75.000 - Rp150.00010RB+ TerjualKAB. BANDUNG","https://shopee.co.id/VCRL-Sweater-Pria-Sablon-Polos-Basic-Bahan-Cotton-Flece-Original-i.282506205.8515037788?sp_atk=497bb461-d4a8-4a50-88b9-90ec8ca90539&xptdk=497bb461-d4a8-4a50-88b9-90ec8ca90539","null","null","null","null","null"
"1669207049-73","https://shopee.co.id/mall/brands/11042849","Varial","https://shopee.co.id/varialapparel.co","","242","95% (hitungan jam)","11,9RB","4.8 (2,4RB penilaian)","4 tahun lalu","null","KAB. BADUNG","18%offJAKET JEANS PRIA / TRUCKER JEANS / STONEWASH /DENIM / V TRD CONS MEDICINE BLUEDiskon Rp20RBRp430.000Rp352.60091 TerjualKAB. BADUNG","https://shopee.co.id/JAKET-JEANS-PRIA-TRUCKER-JEANS-STONEWASH-DENIM-V-TRD-CONS-MEDICINE-BLUE-i.105948078.6487864075?sp_atk=f73e01e9-3c41-4d6a-b2b2-9aa47dc423be&xptdk=f73e01e9-3c41-4d6a-b2b2-9aa47dc423be","null","null","null","null","null"
"1669207078-74","https://shopee.co.id/mall/brands/11042849","Vampire Dead And Revenge","https://shopee.co.id/vampiredeadandrevenge","","584","99% (hitungan jam)","57,9RB","4.8 (21,1RB penilaian)","33 bulan lalu","null","KAB. BANTUL","44%offVampire Kingdom T-shirt Short Sleeve | Gorgeo | BlackDiskon Rp2,5RBPilih 2, diskon Rp3.000Rp169.000Rp95.0001,1RB TerjualKAB. BANTUL","https://shopee.co.id/Vampire-Kingdom-T-shirt-Short-Sleeve-Gorgeo-Black-i.229008774.13814294907?sp_atk=c45470f0-7c68-4563-a09e-b2f77520c7e9&xptdk=c45470f0-7c68-4563-a09e-b2f77520c7e9","null","null","null","null","null"
"1669207103-75","https://shopee.co.id/mall/brands/11042849","Urbain Inc","https://shopee.co.id/urbaininc","","103","54% (hitungan jam)","77,8RB","4.8 (16,7RB penilaian)","3 tahun lalu","null","KOTA JAKARTA SELATAN","45%offUrbain Beanie/Kupluk Wool Hitam LogoPilih 2, bayar Rp100.000Rp100.000Rp55.000857 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Urbain-Beanie-Kupluk-Wool-Hitam-Logo-i.155156587.4563253173?sp_atk=461eb99a-c0a3-4e29-a492-fe91a1b89612&xptdk=461eb99a-c0a3-4e29-a492-fe91a1b89612","null","null","null","null","null"
"1669207129-76","https://shopee.co.id/mall/brands/11042849","Uprise","https://shopee.co.id/uprisedenim","","89","97% (hitungan jam)","80,8RB","4.9 (7,1RB penilaian)","33 bulan lalu","null","KOTA JAKARTA UTARA","UPRISE Oversize Polo Black , White , GrayDiskon Rp15RBRp179.000103 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/UPRISE-Oversize-Polo-Black-White-Gray-i.231103920.8498349348?sp_atk=9a7ec6f1-a0f1-4963-8a31-9bc39fc4c9b9&xptdk=9a7ec6f1-a0f1-4963-8a31-9bc39fc4c9b9","null","null","null","null","null"
"1669207154-77","https://shopee.co.id/mall/brands/11042849","Unxplnd","https://shopee.co.id/unxplndmarket","","159","76% (hitungan jam)","24,8RB","4.9 (5,5RB penilaian)","25 bulan lalu","null","KAB. TANGERANG","27%offUnxplnd | Beanie | Basic OG WovenRp95.000Rp69.0001,1RB TerjualKAB. TANGERANG","https://shopee.co.id/Unxplnd-Beanie-Basic-OG-Woven-i.325670631.9348232420?sp_atk=4257f6ea-2094-4c28-bb4c-516e0cdf9c0f&xptdk=4257f6ea-2094-4c28-bb4c-516e0cdf9c0f","null","null","null","null","null"
"1669207185-78","https://shopee.co.id/mall/brands/11042849","UNTCKD","https://shopee.co.id/untckd_official","","488","78% (hitungan jam)","97,1RB","4.8 (18,6RB penilaian)","7 tahun lalu","null","KOTA JAKARTA UTARA","67%offUNTCKD Quill FannypackRp150.000Rp50.000226 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/UNTCKD-Quill-Fannypack-i.1304055.3414141404?sp_atk=cfc1e2eb-8315-4ff5-99c4-ed73c80dcbc7&xptdk=cfc1e2eb-8315-4ff5-99c4-ed73c80dcbc7","null","null","null","null","null"
"1669207216-79","https://shopee.co.id/mall/brands/11042849","Uno.co","https://shopee.co.id/unoco.official","","79","97% (hitungan jam)","20,8RB","4.9 (5,6RB penilaian)","36 bulan lalu","null","KOTA JAKARTA TIMUR","9%offUno.co Kemeja Formal Office Shirt lengan pendek hitam Big Size Xl-7XlCashback 3%Rp209.000 - Rp269.000152 TerjualKOTA JAKARTA TIMUR","https://shopee.co.id/Uno.co-Kemeja-Formal-Office-Shirt-lengan-pendek-hitam-Big-Size-Xl-7Xl-i.204790309.9576464727?sp_atk=d1c84bd4-9426-49f1-85f8-b0fe71731c81&xptdk=d1c84bd4-9426-49f1-85f8-b0fe71731c81","null","null","null","null","null"
"1669207250-80","https://shopee.co.id/mall/brands/11042849","UNKL347","https://shopee.co.id/unkl347official","","384","98% (hitungan jam)","133,1RB","4.8 (39,2RB penilaian)","4 tahun lalu","null","KOTA SURAKARTA (SOLO)","70%offUNKL347 T-Shirt Hitam Bahan Combed Motif Simpel BDTMRp260.000Rp78.0001,2RB TerjualKOTA SURAKARTA (SOLO)","https://shopee.co.id/UNKL347-T-Shirt-Hitam-Bahan-Combed-Motif-Simpel-BDTM-i.80732230.14790223061?sp_atk=2886f6a8-7609-4aaf-8643-f13ae7402913&xptdk=2886f6a8-7609-4aaf-8643-f13ae7402913","null","null","null","null","null"
"1669207277-81","https://shopee.co.id/mall/brands/11042849","Unitedhart","https://shopee.co.id/unitedhart_official","","96","75% (hitungan jam)","18,4RB","4.9 (2,9RB penilaian)","28 bulan lalu","null","KOTA BANDUNG","UH! Heavyweight Cotton 16s Pocket Tees BlackRp178.000226 TerjualKOTA BANDUNG","https://shopee.co.id/UH!-Heavyweight-Cotton-16s-Pocket-Tees-Black-i.293283681.4896740595?sp_atk=6a025f1d-e25f-48e4-ad2a-d4edc74852d0&xptdk=6a025f1d-e25f-48e4-ad2a-d4edc74852d0","null","null","null","null","null"
"1669207301-82","https://shopee.co.id/mall/brands/11042849","Unionwell","https://shopee.co.id/unionwelloriginal","","203","88% (hitungan jam)","14,7RB","4.9 (5,3RB penilaian)","3 tahun lalu","null","KOTA JAKARTA SELATAN","40%offUnionwell Tshirt Unionround Logo BlackRp300.000Rp180.000236 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Unionwell-Tshirt-Unionround-Logo-Black-i.168583478.11156284810?sp_atk=ec82cd20-ed94-4e6a-9171-5b773c9e68ed&xptdk=ec82cd20-ed94-4e6a-9171-5b773c9e68ed","null","null","null","null","null"
"1669207329-83","https://shopee.co.id/mall/brands/11042849","Underage","https://shopee.co.id/underage.indonesia","","167","89% (hitungan jam)","10,4RB","4.9 (4,7RB penilaian)","3 tahun lalu","null","KOTA BANDUNG","54%offUnderage T-Shirt wild and free long sleve black streetwear | kaos motorDiskon Rp10RBMurah LebayRp138.600 - Rp163.350715 TerjualKOTA BANDUNG","https://shopee.co.id/Underage-T-Shirt-wild-and-free-long-sleve-black-streetwear-kaos-motor-i.199857305.4456360290?sp_atk=6c3c1f17-0f8f-470b-b60d-95429df8632b&xptdk=6c3c1f17-0f8f-470b-b60d-95429df8632b","null","null","null","null","null"
"1669207357-84","https://shopee.co.id/mall/brands/11042849","UK Unicloth Kingdom","https://shopee.co.id/uniclothkingdom","","79","62% (hitungan jam)","362","4.8 (128 penilaian)","19 bulan lalu","null","KOTA BANDUNG","50%offUK Unicloth Kingdom Tshirt Basic / Kaos Polos 24s / Kaos Polos Tanpa Jahitan SampingGrosirRp86.000Rp43.000152 TerjualKOTA BANDUNG","https://shopee.co.id/UK-Unicloth-Kingdom-Tshirt-Basic-Kaos-Polos-24s-Kaos-Polos-Tanpa-Jahitan-Samping-i.421704542.8488957170?sp_atk=02cf8785-af92-4601-b9a2-b5bee8f13dda&xptdk=02cf8785-af92-4601-b9a2-b5bee8f13dda","null","null","null","null","null"
